Job Id,Job Title,Job Description,Job Type,Categories,Location,City,State,Country,Zip Code,Address,Remote,Salary From,Salary To,Salary Period,Apply URL,Apply Email,Posting Date,Expiration Date,Applications,Status,Views,Employer Email,Full Name,Company Name,Employer Website,Employer Phone,Employer Logo,Company Description
R-01249299,"Director, Account Management",,Full time,Diagnostics,"Remote, Oregon, United States of America, Remote, Massachusetts, United States of America, Remote, Illinois, United States of America, Remote, Texas, United States of America","Remote, Remote, Remote, Remote","Oregon, Massachusetts, Illinois, Texas",United States of America,,"Remote, Oregon, United States of America, Remote, Massachusetts, United States of America, Remote, Illinois, United States of America, Remote, Texas, United States of America",True,,,,https://jobs.thermofisher.com/global/en/job/R-01249299/Director-Account-Management,,2024-05-23T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01250703,Clinical Sales Specialist,,Full time,Diagnostics,"Houston, Texas, United States of America, Austin, Texas, United States of America, San Antonio, Texas, United States of America","Houston, Austin, San Antonio","Texas, Texas, Texas",United States of America,,"Houston, Texas, United States of America, Austin, Texas, United States of America, San Antonio, Texas, United States of America",False,,,,https://jobs.thermofisher.com/global/en/job/R-01250703/Clinical-Sales-Specialist,,2024-05-30T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01253278,Inside Sales Representative II,,Full time,Diagnostics,"LocationKalamazoo, Michigan, United States of America",LocationKalamazoo,Michigan,United States of America,,"LocationKalamazoo, Michigan, United States of America",False,,,,https://jobs.thermofisher.com/global/en/job/R-01253278/Inside-Sales-Representative-II,,2024-06-04T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01236813,"Account Manager III, Chromatography and Mass Spectrometry",,Full time,Diagnostics,"Remote, California, United States of America, Irvine, California, United States of America, Laverne, California, United States of America, Riverside, California, United States of America, Los Angeles, California, United States of America, Long Beach, California, United States of America","Remote, Irvine, Laverne, Riverside, Los Angeles, Long Beach","California, California, California, California, California, California",United States of America,,"Remote, California, United States of America, Irvine, California, United States of America, Laverne, California, United States of America, Riverside, California, United States of America, Los Angeles, California, United States of America, Long Beach, California, United States of America",True,,,,https://jobs.thermofisher.com/global/en/job/R-01236813/Account-Manager-III-Chromatography-and-Mass-Spectrometry,,2024-03-25T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01247629,"Account Manager II, Clinical Sales",,Full time,Diagnostics,"Remote, New York, United States of America, New York City, New York, United States of America","Remote, New York City","New York, New York",United States of America,,"Remote, New York, United States of America, New York City, New York, United States of America",True,,,,https://jobs.thermofisher.com/global/en/job/R-01247629/Account-Manager-II-Clinical-Sales,,2024-06-07T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01219159,"Account Manager II, Queens - NY",,Full time,Diagnostics,"New York City, New York, United States of America, Jamaica, New York, United States of America","New York City, Jamaica","New York, New York",United States of America,,"New York City, New York, United States of America, Jamaica, New York, United States of America",False,,,,https://jobs.thermofisher.com/global/en/job/R-01219159/Account-Manager-II-Queens-NY,,2024-06-07T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01233266,"Senior Business Development Executive, Pharma Manufacturing Services",,Full time,Diagnostics,"Remote, California, United States of America, Remote, Idaho, United States of America, Remote, Montana, United States of America, Remote, Oregon, United States of America, Remote, Washington, United States of America, Remote, Wyoming, United States of America","Remote, Remote, Remote, Remote, Remote, Remote","California, Idaho, Montana, Oregon, Washington, Wyoming",United States of America,,"Remote, California, United States of America, Remote, Idaho, United States of America, Remote, Montana, United States of America, Remote, Oregon, United States of America, Remote, Washington, United States of America, Remote, Wyoming, United States of America",True,,,,https://jobs.thermofisher.com/global/en/job/R-01233266/Senior-Business-Development-Executive-Pharma-Manufacturing-Services,,2024-06-07T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01251501,Cell Therapy Business Development Specialist (NA-West),,Full time,Diagnostics,"Carlsbad, California, United States of America, Seattle, Washington, United States of America, San Francisco, California, United States of America, San Diego, California, United States of America, Los Angeles, California, United States of America","Carlsbad, Seattle, San Francisco, San Diego, Los Angeles","California, Washington, California, California, California",United States of America,,"Carlsbad, California, United States of America, Seattle, Washington, United States of America, San Francisco, California, United States of America, San Diego, California, United States of America, Los Angeles, California, United States of America",False,,,,https://jobs.thermofisher.com/global/en/job/R-01251501/Cell-Therapy-Business-Development-Specialist-NA-West,,2024-06-07T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01244860,Commercial Finance Analyst,,Full time,Diagnostics,"LocationWilmington, North Carolina, United States of America",LocationWilmington,North Carolina,United States of America,,"LocationWilmington, North Carolina, United States of America",False,,,,https://jobs.thermofisher.com/global/en/job/R-01244860/Commercial-Finance-Analyst,,2024-05-08T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
R-01253258,Instruments Sales Representative III,,Full time,Diagnostics,"Remote, New York, United States of America, Remote, New Jersey, United States of America, Remote, Connecticut, United States of America","Remote, Remote, Remote","New York, New Jersey, Connecticut",United States of America,,"Remote, New York, United States of America, Remote, New Jersey, United States of America, Remote, Connecticut, United States of America",True,,,,https://jobs.thermofisher.com/global/en/job/R-01253258/Instruments-Sales-Representative-III,,2024-06-04T00:00:00.000+0000,,,,,msh@mshthermofisher.com,,Thermo Fisher,https://jobs.thermofisher.com/,,https://cdn.phenompeople.com/CareerConnectResources/TFSCGLOBAL/en_global/desktop/assets/images/header_logo.png,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them"
